simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0701362	18999	274.461
40	1231	94	0	99.4535	3.75167e-06	2.21416
80	1245	14	0	94.4236	7.14291e-16	0.00906798
120	1261	16	0	95.3791	1.28239e-25	3.7137e-05
160	1292	31	0	95.767	2.14736e-35	1.52088e-07
200	1331	39	0	95.8874	3.34536e-45	6.22842e-10
240	1377	46	0	96.6062	4.78157e-55	2.55065e-12
280	1432	55	0	97.1415	6.2704e-65	1.04452e-14
320	1490	58	0	95.9572	7.53061e-75	4.27737e-17
360	1554	66	2	96.3451	8.16145e-85	1.75157e-19
400	1650	97	1	98.5607	7.85878e-95	7.17251e-22
440	1737	92	5	98.9223	6.80077e-105	2.93701e-24
480	1846	111	2	100.723	5.27778e-115	1.20263e-26
520	2008	163	1	101.184	3.56355e-125	4.92437e-29
560	2120	117	5	102.16	2.10267e-135	2.01632e-31
600	2195	80	5	102.701	1.07697e-145	8.25573e-34
640	2285	92	2	104.054	4.73585e-156	3.38017e-36
680	2392	111	4	103.631	1.73371e-166	1.38391e-38
720	2423	35	4	104.513	5.375e-177	5.66582e-41
760	2458	36	1	105.497	1.4187e-187	2.31954e-43
800	2518	63	3	104.719	3.15991e-198	9.49562e-46
840	2590	75	3	106.33	5.89005e-209	3.88713e-48
880	2667	84	7	107.055	9.2189e-220	1.59118e-50
920	2751	91	7	106.935	1.22434e-230	6.51322e-53
960	2862	118	7	106.77	1.36093e-241	2.66598e-55
1000	2976	119	5	107.837	1.28273e-252	1.0912e-57
1040	3138	167	5	110.016	1.00668e-263	4.46617e-60
1080	3329	197	6	113.133	6.52417e-275	270.608
1120	3578	256	7	111.793	3.38304e-286	1.10755
1160	3854	283	7	115.328	1.36464e-297	0.00453258
1200	4060	215	9	116.465	0	1.85486e-05
1240	4212	158	6	116.616	0	7.59019e-08
1280	4404	202	10	118.605	0	3.10578e-10
1320	4566	167	5	118.111	0	1.27075e-12
1360	4641	80	5	122.005	0	5.19902e-15
1400	4705	73	9	121.669	0	2.12692e-17
1440	4816	122	11	122.079	0	8.70065e-20
1440.02	4820	5	1	0.655101	0	8.67676e-20
