Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
400;0;-63.8282;-4.16202;-90.7464;9.88487;4045.77;6.04849;0;0;0.1;0.01;0;1.97334;0;0;-1-1;-1
400;1;-48.0892;-31.9156;-83.5668;8.45478;2531.61;5.16968;0;0;0.1;0.01;0;3.0531;0;0;-1-1;-1
400;2;-36.109;-16.0111;-85.2211;9.9146;4082.39;6.04978;0;0;0.1;0.01;0;5.02999;0;0;-1-1;-1
400;3;-35.9069;3.05722;-84.9118;10.1807;4419.99;6.18601;0;0;0.1;0.01;0;4.63937;0;0;-1-1;-1
400;4;-35.2856;16.1133;-102.22;8.63045;2692.71;5.28125;0;0;0.1;0.01;0;0.759906;0;0;-1-1;-1
400;5;-21.931;-42.084;-85.2189;10.2529;4514.68;6.22363;0;0;0.1;0.01;0;5.85456;0;0;-1-1;-1
400;6;-20.944;-24.3354;-89.7299;10.1265;4349.79;6.17412;0;0;0.1;0.01;0;4.73421;0;0;-1-1;-1
400;7;-21.751;-6.4792;-88.1744;10.1005;4316.33;6.15213;0;0;0.1;0.01;0;6.1464;0;0;-1-1;-1
400;8;-19.9678;9.99823;-88.8328;10.1551;4386.73;6.17617;0;0;0.1;0.01;0;5.14916;0;0;-1-1;-1
400;9;-18.7569;27.6274;-92.8653;10.1878;4429.22;6.1861;0;0;0.1;0.01;0;2.74052;0;0;-1-1;-1
400;10;-5.44029;-49.5397;-86.0835;9.78632;3925.97;5.99707;0;0;0.1;0.01;0;4.85568;0;0;-1-1;-1
400;11;-3.30986;-32.2642;-90.2899;10.2324;4487.71;6.2044;0;0;0.1;0.01;0;4.35671;0;0;-1-1;-1
400;12;-6.81529;-15.0042;-88.9947;10.1517;4382.37;6.18074;0;0;0.1;0.01;0;6.23645;0;0;-1-1;-1
400;13;-5.8581;1.3284;-84.4239;9.28801;3356.27;5.70214;0;0;0.1;0.01;0;7.22912;0;0;-1-1;-1
400;14;6.43935;17.9997;-100.486;9.52279;3617.27;5.85195;0;0;0.1;0.01;0;2.01321;0;0;-1-1;-1
400;15;-6.7806;45.345;-100.173;8.2154;2322.6;4.96539;0;0;0.1;0.01;0;1.38927;1;0;-1-1;-1
400;16;6.93726;-44.2524;-96.1968;8.94467;2997.66;5.51122;0;0;0.1;0.01;0;3.93777;0;0;-1-1;-1
400;17;13.8181;-30.5991;-92.2186;8.88727;2940.32;5.46133;0;0;0.1;0.01;0;5.12904;0;0;-1-1;-1
400;18;8.25035;-6.265;-88.6661;10.122;4343.92;6.1548;0;0;0.1;0.01;0;4.9284;0;0;-1-1;-1
400;19;9.3559;10.0781;-85.436;10.1126;4331.89;6.1653;0;0;0.1;0.01;0;5.65181;0;0;-1-1;-1
400;20;11.2896;28.4677;-87.8416;10.1362;4362.26;6.17417;0;0;0.1;0.01;0;6.13679;0;0;-1-1;-1
400;21;11.761;45.5777;-87.063;9.72317;3850.46;5.96725;0;0;0.1;0.01;0;4.99321;0;0;-1-1;-1
400;22;16.6386;-53.1285;-85.685;10.2762;4545.61;6.23101;0;0;0.1;0.01;0;4.72756;0;0;-1-1;-1
400;23;22.8153;-42.8815;-97.2885;8.996;3049.55;5.5447;0;0;0.1;0.01;0;3.76383;0;0;-1-1;-1
400;24;23.4289;-17.4378;-89.3105;10.03;4226.56;6.12502;0;0;0.1;0.01;0;5.82446;0;0;-1-1;-1
400;25;24.0652;0.27166;-87.9573;10.0729;4281.07;6.13274;0;0;0.1;0.01;0;6.54667;0;0;-1-1;-1
400;26;25.4916;18.2257;-85.9634;10.1516;4382.15;6.18292;0;0;0.1;0.01;0;6.28997;0;0;-1-1;-1
400;27;24.1017;30.6778;-97.1193;8.28454;2381.74;5.01806;0;0;0.1;0.01;0;2.75769;0;0;-1-1;-1
400;28;37.9867;-47.2918;-97.2573;8.81513;2869.29;5.41046;0;0;0.1;0.01;0;2.76246;0;0;-1-1;-1
400;29;40.8728;-22.182;-88.1336;9.93743;4110.65;6.05847;0;0;0.1;0.01;0;5.45407;0;0;-1-1;-1
400;30;50.0375;-7.83429;-87.9315;9.48825;3578.06;5.83664;0;0;0.1;0.01;0;4.60407;0;0;-1-1;-1
400;31;48.3771;15.5945;-89.347;9.53494;3631.13;5.84096;0;0;0.1;0.01;0;4.31187;0;0;-1-1;-1
400;32;51.1274;31.3374;-89.5927;8.87005;2923.25;5.44323;0;0;0.1;0.01;0;3.29241;0;0;-1-1;-1
400;33;-83.6851;-22.9497;-70.251;8.15075;2268.2;4.94447;0;0;0.1;0.01;0;0.863613;1;0;-1-1;-1
400;34;-59.6414;-52.4667;-66.058;8.74694;2803.22;5.3741;0;0;0.1;0.01;0;4.44146;0;0;-1-1;-1
400;35;-63.7666;-24.3356;-62.5959;3.51681;182.194;2.93712;0;0;1.20115e-08;0.01;0;3.83825;100;0;-1-1;-1
400;36;-64.3828;-14.6007;-76.3159;9.89116;4053.5;6.04369;0;0;0.1;0.01;0;4.06552;0;0;-1-1;-1
400;37;-63.5193;3.68991;-76.0157;9.79232;3933.19;5.99214;0;0;0.1;0.01;0;4.82836;0;0;-1-1;-1
400;38;-61.4033;30.475;-80.7397;10.036;4234.23;6.12611;0;0;0.1;0.01;0;3.19433;0;0;-1-1;-1
400;39;-60.3492;47.4509;-75.186;10.3096;4590.07;6.24605;0;0;0.1;0.01;0;4.27191;0;0;-1-1;-1
400;40;-49.0145;-59.4692;-76.5641;10.1879;4429.38;6.18711;0;0;0.1;0.01;0;3.37819;0;0;-1-1;-1
400;41;-48.9721;-42.6659;-67.2676;8.16277;2278.25;4.94762;0;0;0.1;0.01;0;5.90415;1;0;-1-1;-1
400;42;-49.819;-6.02064;-81.4291;9.78322;3922.24;5.9871;0;0;0.1;0.01;0;5.79616;0;0;-1-1;-1
400;43;-46.6442;6.79323;-71.4383;9.8516;4005.06;6.02893;0;0;0.1;0.01;0;7.79885;0;0;-1-1;-1
400;44;-45.8421;21.9592;-79.7449;10.0357;4233.8;6.12639;0;0;0.1;0.01;0;5.29025;0;0;-1-1;-1
400;45;-47.4956;41.4116;-85.4204;10.2735;4542.02;6.22939;0;0;0.1;0.01;0;4.31354;0;0;-1-1;-1
400;46;-47.617;58.7813;-81.2218;9.9641;4143.84;6.08729;0;0;0.1;0.01;0;3.81771;0;0;-1-1;-1
400;47;-31.629;-60.9025;-74.6103;10.0972;4312.16;6.14415;0;0;0.1;0.01;0;5.58715;0;0;-1-1;-1
400;48;-39.523;-45.6835;-82.2519;9.7714;3908.04;5.99189;0;0;0.1;0.01;0;4.82303;0;0;-1-1;-1
400;49;-28.6813;-28.7795;-75.5272;10.1161;4336.32;6.15548;0;0;0.1;0.01;0;7.8613;0;0;-1-1;-1
400;50;-34.6953;-7.23481;-70.2157;9.90478;4070.27;6.05746;0;0;0.1;0.01;0;7.10707;0;0;-1-1;-1
400;51;-30.5766;14.0376;-72.7191;10.2576;4520.87;6.22649;0;0;0.1;0.01;0;7.41428;0;0;-1-1;-1
400;52;-36.3191;35.1293;-76.1989;8.74861;2804.83;5.36344;0;0;0.1;0.01;0;5.68969;0;0;-1-1;-1
400;53;-31.5971;50.9104;-81.1389;10.2395;4496.99;6.21282;0;0;0.1;0.01;0;5.30392;0;0;-1-1;-1
400;54;-37.7154;61.4109;-68.7288;8.27919;2377.13;5.02267;0;0;0.1;0.01;0;5.22841;0;0;-1-1;-1
400;55;-4.91139;-77.1635;-69.1135;8.47968;2554.03;5.18611;0;0;0.1;0.01;0;4.11246;0;0;-1-1;-1
400;56;-15.7242;-53.7255;-71.987;10.0555;4258.86;6.11946;0;0;0.1;0.01;0;7.38904;0;0;-1-1;-1
400;57;-24.0538;-38.347;-75.3406;2.11872;39.8388;2.04502;0;0;4.14501e-16;0.01;0;7.38612;100;0;-1-1;-1
400;58;-19.2614;-15.1107;-74.0785;10.2283;4482.31;6.21331;0;0;0.1;0.01;0;6.71204;0;0;-1-1;-1
400;59;-17.4899;2.6898;-72.9425;10.2585;4522.16;6.22764;0;0;0.1;0.01;0;7.47676;0;0;-1-1;-1
400;60;-16.2682;21.6062;-76.5936;10.1342;4359.69;6.16867;0;0;0.1;0.01;0;7.71911;0;0;-1-1;-1
400;61;-16.8062;39.3312;-79.7149;10.2207;4472.27;6.20247;0;0;0.1;0.01;0;6.48083;0;0;-1-1;-1
400;62;-17.0643;54.2634;-86.3158;8.22292;2328.99;4.96855;0;0;0.1;0.01;0;3.00708;1;0;-1-1;-1
400;63;0.334124;-62.7128;-75.0514;10.1661;4401;6.17784;0;0;0.1;0.01;0;5.84851;0;0;-1-1;-1
400;64;-2.16076;-44.7378;-70.093;10.1151;4335.1;6.16135;0;0;0.1;0.01;0;7.92872;0;0;-1-1;-1
400;65;-5.75232;-26.3846;-74.3399;9.6065;3713.5;5.88403;0;0;0.1;0.01;0;7.20869;0;0;-1-1;-1
400;66;-4.39371;-10.5785;-74.2364;8.43487;2513.76;5.14099;0;0;0.1;0.01;0;7.02695;0;0;-1-1;-1
400;67;-2.74638;12.4224;-73.1153;9.85931;4014.47;6.03704;0;0;0.1;0.01;0;8.03728;0;0;-1-1;-1
400;68;-1.17323;29.511;-76.3954;10.0533;4256.14;6.13237;0;0;0.1;0.01;0;7.85472;0;0;-1-1;-1
400;69;-1.38219;46.2801;-73.8677;10.2485;4508.83;6.22522;0;0;0.1;0.01;0;7.94996;0;0;-1-1;-1
400;70;0.395715;70.8997;-86.4035;8.47858;2553.04;5.18482;0;0;0.1;0.01;0;1.37527;0;0;-1-1;-1
400;71;16.9652;-69.3103;-80.2579;10.24;4497.62;6.21553;0;0;0.1;0.01;0;3.24108;0;0;-1-1;-1
400;72;15.4264;-47.4737;-69.0922;10.1056;4322.92;6.1572;0;0;0.1;0.01;0;7.49653;0;0;-1-1;-1
